District,Corr_pred,Incorr_pred
pashchim,18,0
purba,27,0
sheohar,5,0
sitamarhi,14,3
madhubani,20,1
supaul,10,1
araria,9,0
kishanganj,7,0
purnia,12,2
katihar,16,0
madhepura,12,1
saharsa,7,3
darbhanga,18,0
muzaffarpur,16,0
gopalganj,13,1
siwan,19,0
saran,19,1
vaishali,16,0
samastipur,20,0
begusarai,18,0
khagaria,7,0
bhagalpur,16,0
banka,10,1
munger,9,0
lakhisarai,7,0
sheikhpura,6,0
nalanda,20,0
patna,22,1
bhojpur,14,0
buxar,9,2
kaimur,11,0
rohtas,19,0
aurangabad,10,1
gaya,22,2
nawada,14,0
jamui,10,0
jehanabad,7,0
arwal,5,0
