district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
206,01063,218971,Rasulpur Rambhadar urf Chlk,1205,,,,,,
206,01063,218972,Masha Naoratan,385,,,,,,
206,01063,218973,Masha Alam,191,,,,,,
206,01063,218974,Nandwara,2386,,,,,,
206,01063,218975,Belganj,2226,,,,,,
206,01063,218976,Pachtaki Ram,845,,,,,,
206,01063,218977,Barahi,153,,,,,,
206,01063,218978,Pachtaki Jadu,1431,,,,,,
206,01063,218979,Bakhri,395,,,,,,
206,01063,218980,Bhataulia,880,,,,,,
206,01063,218984,Akhta (Part in Suppi) *,1705,,,,,,
206,01063,218985,Parsauni,1456,,,,,,
206,01063,218986,Rasulpur Dayal urf Bahira,341,,,,,,
206,01063,218987,Patahi,1071,,,,,,
206,01063,218988,Kurwa Fatehpur Chhapra,223,,,,,,
206,01063,218989,Jamua,2362,,,,,,
206,01063,218990,Madhu Chapra,657,,,,,,
206,01063,218991,Marpa Tahir,867,,,,,,
206,01063,218992,Piprahi Sultanpur,369,,,,,,
206,01063,801293,Bairgania (NP),8010,,,,,,
206,01064,218994,Akhta (Part in Bairgania) *,4019,,,,,,
206,01064,218996,Babhangawan,1679,,,,,,
206,01064,218997,Maniari,1271,,,,,,
206,01064,218998,Bengahi,1331,,,,,,
206,01064,218999,Basant Khurd,272,,,,,,
206,01064,219000,Barharwa urf BishunpurMohabbat,1227,,,,,,
206,01064,219001,Rajepur,423,,,,,,
206,01064,219002,Supi,458,,,,,,
206,01064,219003,Barahi Chintaman,840,,,,,,
206,01064,219004,Bokta,693,,,,,,
206,01064,219005,Dharampur Madan urf Chhaurhia,244,,,,,,
206,01064,219006,Pakari Parsa,710,,,,,,
206,01064,219007,Parsa,407,,,,,,
206,01064,219008,Jamal Parsa,236,,,,,,
206,01064,219009,Kothia Rae,733,,,,,,
206,01064,219010,Gopalpur,312,,,,,,
206,01064,219011,Mohni Madol,2802,,,,,,
206,01064,219012,Mohni Khurd,136,,,,,,
206,01064,219013,Masahi,872,,,,,,
206,01064,219014,Amwa Khurd,154,,,,,,
206,01064,219015,Muradpur Narkatia,551,,,,,,
206,01064,219016,Nahra,1688,,,,,,
206,01064,219017,Semardah Kalan,467,,,,,,
206,01064,219018,Semardah Nankar,283,,,,,,
206,01064,219019,Sonaul Khan,287,,,,,,
206,01064,219020,Haripur Pipra,764,,,,,,
206,01064,219022,Chak Dadan,428,,,,,,
206,01064,219023,Sonaul Sube,575,,,,,,
206,01064,219024,Gharwara,1104,,,,,,
206,01064,219025,Sisaula Kalan,1589,,,,,,
206,01064,219026,Marpa Issar Das,781,,,,,,
206,01064,219027,Madhurapur,574,,,,,,
206,01064,219028,Bishunpur Kamdeo,609,,,,,,
206,01064,219029,Kothiar,141,,,,,,
206,01064,219030,Rampur Kanth,290,,,,,,
206,01065,219031,Ratanpur,894,,,,,,
206,01065,219032,Bhokraha,804,,,,,,
206,01065,219033,Harpur Kalan,1269,,,,,,
206,01065,219034,Bariarpur,304,,,,,,
206,01065,219035,Rasulpur Pitaunjia,945,,,,,,
206,01065,219036,Raghunathpur,970,,,,,,
206,01065,219037,Basbita,1293,,,,,,
206,01065,219038,Marpa Sirpal,483,,,,,,
206,01065,219039,Bhilwahi,583,,,,,,
206,01065,219040,Belwa Parri,348,,,,,,
206,01065,219041,Pachharwa,717,,,,,,
206,01065,219042,Garhwa Bishunpur,511,,,,,,
206,01065,219043,Hanumannagar,132,,,,,,
206,01065,219044,Bahera,806,,,,,,
206,01065,219045,Bisambharpur Nankar,947,,,,,,
206,01065,219046,Madhopur Malinia,837,,,,,,
206,01065,219048,Akhardiha,521,,,,,,
206,01065,219049,Hinrolwa Bishunpur Parsotim,796,,,,,,
206,01065,219050,Sonaul Mahodat,822,,,,,,
206,01065,219051,Kuari Madan,830,,,,,,
206,01065,219052,Mejar Ganj Malahi,2262,,,,,,
206,01065,219053,Khairwa,1810,,,,,,
206,01065,219054,Barahi Hari Ram,644,,,,,,
206,01065,219055,Dumri Khurd,1005,,,,,,
206,01065,219056,Dumri Kalan urf Madhuban Jadu,2651,,,,,,
206,01065,219057,Halimpur,498,,,,,,
206,01066,219058,Murha Chhitauna,247,,,,,,
206,01066,219059,Murha Ghat,356,,,,,,
206,01066,219060,Murha Dih,712,,,,,,
206,01066,219061,Itaharwa Dularpur,554,,,,,,
206,01066,219062,Madhukarpur,610,,,,,,
206,01066,219063,Pipra Ghat,385,,,,,,
206,01066,219065,Bagaha,1230,,,,,,
206,01066,219068,Khap Khopraha urf Gobraha,601,,,,,,
206,01066,219069,Bharsand,575,,,,,,
206,01066,219071,Urlahia,193,,,,,,
206,01066,219072,Kanhauli,1755,,,,,,
206,01066,219073,Muh Chatti,581,,,,,,
206,01066,219075,Marpa,1760,,,,,,
206,01066,219077,Kachaur,1137,,,,,,
206,01066,219078,Phulkaha,466,,,,,,
206,01066,219079,Bhutahi,2534,,,,,,
206,01066,219080,Arazi Mohanpur,208,,,,,,
206,01066,219081,Fatehpur,1267,,,,,,
206,01066,219082,Sarwarpur,582,,,,,,
206,01066,219084,Basahia,913,,,,,,
206,01066,219085,Bela,1078,,,,,,
206,01066,219086,Parsa Kalan,323,,,,,,
206,01066,219087,Dostia,1471,,,,,,
206,01066,219088,Indarwa,428,,,,,,
206,01066,219089,Betahi,193,,,,,,
206,01066,219090,Parsa Khurd,676,,,,,,
206,01066,219091,Bishunpur,942,,,,,,
206,01066,219092,Araria,631,,,,,,
206,01066,219093,Pharchhahian,638,,,,,,
206,01066,219094,Sangrampur,539,,,,,,
206,01066,219095,Bhaluaha,775,,,,,,
206,01066,219097,Ramnagar Rasulpur Az Rakbe,685,,,,,,
206,01066,219098,Sonbarsa,2405,,,,,,
206,01066,219099,Chitra,1040,,,,,,
206,01066,219100,Lachhmipur,249,,,,,,
206,01066,219101,Rohua,538,,,,,,
206,01066,219102,Kohbarwa,509,,,,,,
206,01066,219103,Jinagar,803,,,,,,
206,01066,219104,Kachharipur,718,,,,,,
206,01066,219105,Jamua,493,,,,,,
206,01066,219106,Bandarjhula,990,,,,,,
206,01066,219107,Ghurghura Hanumannagar urf Ghurghura Baluaha,2225,,,,,,
206,01066,219108,Madhesra,1109,,,,,,
206,01066,219109,Singhibahni,2525,,,,,,
206,01066,219110,Marhia Tetaria,1188,,,,,,
206,01066,219111,Purandaha Rajwaramai tola Mus.,3346,,,,,,
206,01066,219112,Rajwara,546,,,,,,
206,01066,219113,Dalakwa Dalki,1257,,,,,,
206,01066,219114,Jamunia urf Majurwa,185,,,,,,
206,01066,219115,Indarwa,1694,,,,,,
206,01066,219116,Sihorwa,501,,,,,,
206,01066,219117,Pipra Parsain,2994,,,,,,
206,01066,219118,Lokhar,713,,,,,,
206,01066,219119,Parsa,426,,,,,,
206,01066,219120,Madhuban urf Madhuban Karmohna,148,,,,,,
